Frase,ImageFileA,ImageFileB,Item,Group
A manga foi cortada.,H1a.png,H1b.png,H1,1
A tela foi quebrada.,P1a.png,P1b.png,P1,1
A bala foi achada.,H2a.png,H2b.png,H2,1
A boca foi sujada.,P2a.png,P2b.png,P2,1
A renda foi usada.,H3a.png,H3b.png,H3,1
A bolacha foi dada.,P3a.png,P3b.png,P3,1
O banco foi quebrado.,H4a.png,H4b.png,H4,1
O bra&ccedilo foi quebrado.,P4a.png,P4b.png,P4,1
O macaco foi achado.,H5a.png,H5b.png,H5,1
O gato foi achado.,P5a.png,P5b.png,P5,1
A pilha foi criada.,H6a.png,H6b.png,H6,1
O prato foi levado.,P6a.png,P6b.png,P6,1
A menina  foi curada.,D1a.png,D1b.png,D1,1
A &aacutervore foi derrubada.,D2a.png,D2b.png,D2,1
O cart&atildeo foi quebrado.,D3a.png,D3b.png,D3,1
A boneca foi comprada.,D4a.png,D4b.png,D4,1
O livro foi usado.,D5a.png,D5b.png,D5,1
O menino foi magoado.,D6a.png,D6b.png,D6,1
A r&eacutegua foi quebrada.,D7a.png,D7b.png,D7,1
O chinelo foi arrebentado.,D8a.png,D8b.png,D8,1
A camisa foi manchada.,D9a.png,D9b.png,D9,1
O rem&eacutedio foi comprado.,D10a.png,D10b.png,D10,1
O lobo foi achado.,D11a.png,D11b.png,D11,1
O vestido foi costurado.,D12a.png,D12b.png,D12,1
A caneta foi comprada.,D13a.png,D13b.png,D13,1
A torta  foi comida.,D14a.png,D14b.png,D14,1
A mesa foi partida.,D15a.png,D15b.png,D15,1
O copo foi rachado.,D16a.png,D16b.png,D16,1
O leite foi derramado.,D17a.png,D17b.png,D17,1
O jantar foi cozinhado.,D18a.png,D18b.png,D18,1
O carro foi consertado.,D19a.png,D19b.png,D19,1
A caneca foi usada.,D20a.png,D20b.png,D20,1
O churrasco foi assado.,D21a.png,D21b.png,D21,1
A cal&ccedila foi costurada.,D22a.png,D22b.png,D22,1
A colher foi usada.,D23a.png,D23b.png,D23,1
O computador foi quebrado.,D24a.png,D24b.png,D24,1
A casa foi comprada.,D25a.png,D25b.png,D25,1
O &ocircnibus foi lavado.,D26a.png,D26b.png,D26,1
A panela foi sujada.,D27a.png,D27b.png,D27,1
A mulher foi achada.,D28a.png,D28b.png,D28,1
